job_id,seed_split,profile,scenario,seed,rep,true_corrupted,predicted_corrupted,neighborhood_outlier,distortion_outlier,state_graph_outlier,insufficient_coverage
smoke_discordant_dynamics_evaluation_seed1,evaluation,smoke,discordant_dynamics,1,X_truth,False,False,False,False,False,False
smoke_discordant_dynamics_evaluation_seed1,evaluation,smoke,discordant_dynamics,1,X_rotated,False,True,False,True,False,False
smoke_discordant_dynamics_evaluation_seed1,evaluation,smoke,discordant_dynamics,1,X_scaled,False,False,False,False,False,False
smoke_discordant_dynamics_evaluation_seed1,evaluation,smoke,discordant_dynamics,1,X_padded,False,False,False,False,False,False
