job_id,seed_split,profile,scenario,seed,source,rep,state,true_class,predicted_class,correct,velocity_requested
smoke_representation_corruption_evaluation_seed1,evaluation,smoke,representation_corruption,1,consensus,,state_0,neutral,unavailable,False,False
smoke_representation_corruption_evaluation_seed1,evaluation,smoke,representation_corruption,1,consensus,,state_1,neutral,unavailable,False,False
smoke_representation_corruption_evaluation_seed1,evaluation,smoke,representation_corruption,1,consensus,,state_2,neutral,unavailable,False,False
smoke_representation_corruption_evaluation_seed1,evaluation,smoke,representation_corruption,1,consensus,,state_3,neutral,unavailable,False,False
smoke_representation_corruption_evaluation_seed1,evaluation,smoke,representation_corruption,1,consensus,,state_4,neutral,unavailable,False,False
smoke_representation_corruption_evaluation_seed1,evaluation,smoke,representation_corruption,1,single_representation,X_truth,state_0,neutral,unavailable,False,False
smoke_representation_corruption_evaluation_seed1,evaluation,smoke,representation_corruption,1,single_representation,X_truth,state_1,neutral,unavailable,False,False
smoke_representation_corruption_evaluation_seed1,evaluation,smoke,representation_corruption,1,single_representation,X_truth,state_2,neutral,unavailable,False,False
smoke_representation_corruption_evaluation_seed1,evaluation,smoke,representation_corruption,1,single_representation,X_truth,state_3,neutral,unavailable,False,False
smoke_representation_corruption_evaluation_seed1,evaluation,smoke,representation_corruption,1,single_representation,X_truth,state_4,neutral,unavailable,False,False
smoke_representation_corruption_evaluation_seed1,evaluation,smoke,representation_corruption,1,single_representation,X_rotated,state_0,neutral,unavailable,False,False
smoke_representation_corruption_evaluation_seed1,evaluation,smoke,representation_corruption,1,single_representation,X_rotated,state_1,neutral,unavailable,False,False
smoke_representation_corruption_evaluation_seed1,evaluation,smoke,representation_corruption,1,single_representation,X_rotated,state_2,neutral,unavailable,False,False
smoke_representation_corruption_evaluation_seed1,evaluation,smoke,representation_corruption,1,single_representation,X_rotated,state_3,neutral,unavailable,False,False
smoke_representation_corruption_evaluation_seed1,evaluation,smoke,representation_corruption,1,single_representation,X_rotated,state_4,neutral,unavailable,False,False
smoke_representation_corruption_evaluation_seed1,evaluation,smoke,representation_corruption,1,single_representation,X_scaled,state_0,neutral,unavailable,False,False
smoke_representation_corruption_evaluation_seed1,evaluation,smoke,representation_corruption,1,single_representation,X_scaled,state_1,neutral,unavailable,False,False
smoke_representation_corruption_evaluation_seed1,evaluation,smoke,representation_corruption,1,single_representation,X_scaled,state_2,neutral,unavailable,False,False
smoke_representation_corruption_evaluation_seed1,evaluation,smoke,representation_corruption,1,single_representation,X_scaled,state_3,neutral,unavailable,False,False
smoke_representation_corruption_evaluation_seed1,evaluation,smoke,representation_corruption,1,single_representation,X_scaled,state_4,neutral,unavailable,False,False
smoke_representation_corruption_evaluation_seed1,evaluation,smoke,representation_corruption,1,single_representation,X_padded,state_0,neutral,unavailable,False,False
smoke_representation_corruption_evaluation_seed1,evaluation,smoke,representation_corruption,1,single_representation,X_padded,state_1,neutral,unavailable,False,False
smoke_representation_corruption_evaluation_seed1,evaluation,smoke,representation_corruption,1,single_representation,X_padded,state_2,neutral,unavailable,False,False
smoke_representation_corruption_evaluation_seed1,evaluation,smoke,representation_corruption,1,single_representation,X_padded,state_3,neutral,unavailable,False,False
smoke_representation_corruption_evaluation_seed1,evaluation,smoke,representation_corruption,1,single_representation,X_padded,state_4,neutral,unavailable,False,False
smoke_representation_corruption_evaluation_seed1,evaluation,smoke,representation_corruption,1,single_representation,X_corrupted,state_0,neutral,unavailable,False,False
smoke_representation_corruption_evaluation_seed1,evaluation,smoke,representation_corruption,1,single_representation,X_corrupted,state_1,neutral,unavailable,False,False
smoke_representation_corruption_evaluation_seed1,evaluation,smoke,representation_corruption,1,single_representation,X_corrupted,state_2,neutral,unavailable,False,False
smoke_representation_corruption_evaluation_seed1,evaluation,smoke,representation_corruption,1,single_representation,X_corrupted,state_3,neutral,unavailable,False,False
smoke_representation_corruption_evaluation_seed1,evaluation,smoke,representation_corruption,1,single_representation,X_corrupted,state_4,neutral,unavailable,False,False
