job_id,seed_split,profile,scenario,seed,source,rep,state,true_class,predicted_class,correct,velocity_requested
smoke_discordant_dynamics_calibration_seed0,calibration,smoke,discordant_dynamics,0,consensus,,state_0,discordant,discordant,True,True
smoke_discordant_dynamics_calibration_seed0,calibration,smoke,discordant_dynamics,0,consensus,,state_1,discordant,discordant,True,True
smoke_discordant_dynamics_calibration_seed0,calibration,smoke,discordant_dynamics,0,consensus,,state_2,neutral,neutral,True,True
smoke_discordant_dynamics_calibration_seed0,calibration,smoke,discordant_dynamics,0,consensus,,state_3,neutral,aligned,False,True
smoke_discordant_dynamics_calibration_seed0,calibration,smoke,discordant_dynamics,0,consensus,,state_4,neutral,neutral,True,True
smoke_discordant_dynamics_calibration_seed0,calibration,smoke,discordant_dynamics,0,single_representation,X_truth,state_0,discordant,discordant,True,True
smoke_discordant_dynamics_calibration_seed0,calibration,smoke,discordant_dynamics,0,single_representation,X_truth,state_1,discordant,discordant,True,True
smoke_discordant_dynamics_calibration_seed0,calibration,smoke,discordant_dynamics,0,single_representation,X_truth,state_2,neutral,neutral,True,True
smoke_discordant_dynamics_calibration_seed0,calibration,smoke,discordant_dynamics,0,single_representation,X_truth,state_3,neutral,aligned,False,True
smoke_discordant_dynamics_calibration_seed0,calibration,smoke,discordant_dynamics,0,single_representation,X_truth,state_4,neutral,neutral,True,True
smoke_discordant_dynamics_calibration_seed0,calibration,smoke,discordant_dynamics,0,single_representation,X_rotated,state_0,discordant,discordant,True,True
smoke_discordant_dynamics_calibration_seed0,calibration,smoke,discordant_dynamics,0,single_representation,X_rotated,state_1,discordant,discordant,True,True
smoke_discordant_dynamics_calibration_seed0,calibration,smoke,discordant_dynamics,0,single_representation,X_rotated,state_2,neutral,neutral,True,True
smoke_discordant_dynamics_calibration_seed0,calibration,smoke,discordant_dynamics,0,single_representation,X_rotated,state_3,neutral,aligned,False,True
smoke_discordant_dynamics_calibration_seed0,calibration,smoke,discordant_dynamics,0,single_representation,X_rotated,state_4,neutral,neutral,True,True
smoke_discordant_dynamics_calibration_seed0,calibration,smoke,discordant_dynamics,0,single_representation,X_scaled,state_0,discordant,discordant,True,True
smoke_discordant_dynamics_calibration_seed0,calibration,smoke,discordant_dynamics,0,single_representation,X_scaled,state_1,discordant,discordant,True,True
smoke_discordant_dynamics_calibration_seed0,calibration,smoke,discordant_dynamics,0,single_representation,X_scaled,state_2,neutral,neutral,True,True
smoke_discordant_dynamics_calibration_seed0,calibration,smoke,discordant_dynamics,0,single_representation,X_scaled,state_3,neutral,aligned,False,True
smoke_discordant_dynamics_calibration_seed0,calibration,smoke,discordant_dynamics,0,single_representation,X_scaled,state_4,neutral,neutral,True,True
smoke_discordant_dynamics_calibration_seed0,calibration,smoke,discordant_dynamics,0,single_representation,X_padded,state_0,discordant,discordant,True,True
smoke_discordant_dynamics_calibration_seed0,calibration,smoke,discordant_dynamics,0,single_representation,X_padded,state_1,discordant,discordant,True,True
smoke_discordant_dynamics_calibration_seed0,calibration,smoke,discordant_dynamics,0,single_representation,X_padded,state_2,neutral,neutral,True,True
smoke_discordant_dynamics_calibration_seed0,calibration,smoke,discordant_dynamics,0,single_representation,X_padded,state_3,neutral,aligned,False,True
smoke_discordant_dynamics_calibration_seed0,calibration,smoke,discordant_dynamics,0,single_representation,X_padded,state_4,neutral,neutral,True,True
